user_id,chronotype,archetype,day,day_of_week,wake_time,task_id,task_name,task_type,duration_hours,deadline_day,deadline_hour,importance,cognitive_demand,is_buffer,user_accepted_buffer,assigned_block_type,assigned_hour,energy_at_assignment,vibe_before,vibe_after,completed_on_time,actual_duration_hours,was_abandoned,profile_completion_rate,profile_buffer_accept,profile_duration_ratio,profile_vibe_trend
morning_disciplined_planner,morning,disciplined_planner,1,Mon,5.0,morning_disciplined_planner_t001,Draft pitch deck,creative,0.76,1,21,0.43,0.54,False,,routine,5.5,0.4,0.61,0.45,0.0,0.81,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,1,Mon,5.0,morning_disciplined_planner_t003,Brainstorm feature ideas,creative,1.76,1,22,0.42,0.63,False,,routine,6.3,0.36,0.45,0.48,1.0,1.58,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,1,Mon,5.0,morning_disciplined_planner_t006,Clean inbox,routine,0.41,1,16,0.3,0.24,False,,routine,7.9,0.37,0.48,0.65,1.0,0.34,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,1,Mon,5.0,morning_disciplined_planner_t007,Order supplies,routine,1.29,4,20,0.38,0.31,True,True,analytical,8.2,0.78,0.65,0.48,1.0,1.16,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,1,Mon,5.0,morning_disciplined_planner_t000,Review meeting notes,routine,1.12,5,19,0.98,0.13,True,True,analytical,9.4,0.7,0.48,0.45,1.0,0.99,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,1,Mon,5.0,morning_disciplined_planner_t002,Review meeting notes,routine,0.8,5,21,0.6,0.17,True,True,analytical,10.4,0.62,0.45,0.38,1.0,0.78,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,1,Mon,5.0,morning_disciplined_planner_t004,Storyboard user flow,creative,0.89,5,16,0.14,0.54,True,True,analytical,11.2,0.59,0.38,0.24,1.0,0.83,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,1,Mon,5.0,morning_disciplined_planner_t005,Write blog post,creative,1.99,6,14,0.39,0.69,True,True,analytical,12.0,0.53,0.24,0.21,1.0,1.68,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,2,Tue,5.7,morning_disciplined_planner_t011,Update documentation,routine,1.21,2,16,0.6,0.29,False,,routine,6.2,0.38,0.52,0.75,1.0,1.16,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,2,Tue,5.7,morning_disciplined_planner_t012,Draft technical specification,analytical,2.09,2,22,0.47,0.76,False,,routine,7.4,0.44,0.75,0.59,0.0,2.38,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,2,Tue,5.7,morning_disciplined_planner_t008,Compose newsletter,creative,1.08,3,20,0.23,0.6,True,True,analytical,9.7,0.76,0.59,0.31,0.0,1.34,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,2,Tue,5.7,morning_disciplined_planner_t009,Solve algorithm problem,analytical,2.97,3,19,0.73,0.9,True,True,analytical,11.1,0.56,0.31,0.52,1.0,2.93,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,2,Tue,5.7,morning_disciplined_planner_t013,Write thesis section,analytical,1.15,3,18,0.36,0.78,True,True,routine,14.0,0.34,0.52,0.48,1.0,1.13,False,0.92,0.85,0.95,0.1
morning_disciplined_planner,morning,disciplined_planner,2,Tue,5.7,morning_disciplined_planner_t010,Update documentation,routine,0.42,4,18,0.7,0.13,True,True,routine,15.1,0.37,0.48,0.63,1.0,0.36,False,0.92,0.85,0.95,0.1
